name: Trajectory 2
type: 3D
x: North | m
y: East  | m
z: Altitude | m
coords:
0.000   -> 0 0 2000
0.005   -> 0.125 0.0 2000.0
0.010   -> 0.2499730969231193 0.0 1999.9997825219118
0.015   -> 0.37491928040823824 8.181048428013446e-07 1999.9993585736288
0.020   -> 0.49983881859029783 2.4558173616364517e-06 1999.9987330096792
0.025   -> 0.6247319692300976 4.91418621813031e-06 1999.9979107079748
0.030   -> 0.749598978585791 8.193742973899427e-06 1999.99689656906
0.035   -> 0.8744400802810103 1.2294440548191577e-05 1999.9956955152938
0.040   -> 0.9992554941710444 1.7215593071865188e-05 1999.9943124899607
0.045   -> 1.1240454252086591 2.295581715266734e-05 1999.992752456308
0.050   -> 1.2488100623113016 2.951297457145445e-05 1999.9910203965053
0.055   -> 1.3735495772316046 3.688411643369505e-05 1999.9891213105273
0.060   -> 1.498264123433267 4.5065428805282965e-05 1999.9870602149515
0.065   -> 1.6229538349745625 5.405217986635383e-05 1999.9848421416739
0.070   -> 1.7476188254018963 6.383866862141752e-05 1999.9824721365358
0.075   -> 1.8722591866560006 7.441817520867196e-05 1999.9799552578627
0.080   -> 1.9968749879935304 8.578291285582516e-05 1999.977296574912
0.085   -> 2.121466274926988 9.79239815340959e-05 1999.9745011662274
0.090   -> 2.2460330681860645 0.00011083132336626018 1999.9715741178993
0.095   -> 2.3705753627036468 0.00012449367984863048 1999.9685205217304
0.100   -> 2.4950931266298886 0.00013889855095066252 1999.9653454733034
0.105   -> 2.6195863003778777 0.00015403215615944848 1999.9620540699539
0.110   -> 2.744054795704568 0.00016987939753963468 1999.9586514086443
0.115   -> 2.8684984948307566 0.0001864238248822613 1999.9551425837426
0.120   -> 2.9929172496039866 0.00020364760301861876 1999.9515326847038
0.125   -> 3.117310880708334 0.0002215314813774094 1999.9478267936572
0.130   -> 3.2416791769251083 0.00024005476586525337 1999.9440299829
0.135   -> 3.3660218944485245 0.00025919529315183954 1999.9401473122996
0.140   -> 3.490338756260425 0.0002789294074417553 1999.9361838266072
0.145   -> 3.614629451568117 0.00029923193981519193 1999.932144552687
0.150   -> 3.738893635309344 0.0003200761902192749 1999.9280344966621
0.155   -> 3.8631309277283394 0.00034143391219067037 1999.9238586409847
0.160   -> 3.987340914026806 0.0003632753003883433 1999.9196219414341
0.165   -> 4.1115231440935105 0.00038556898101284716 1999.9153293240468
0.170   -> 4.2356771323160185 0.00040828200518529327 1999.9109856819873
0.175   -> 4.359802357477866 0.0004313798453551537 1999.9065958723659
0.180   -> 4.483898262744204 0.0004548263948012807 1999.9021647130087
0.185   -> 4.607964255738676 0.0004785839702849743 1999.8976969791906
0.190   -> 4.731999708713926 0.0005026133179075936 1999.8931974003392
0.195   -> 4.856003958817776 0.0005268736222181025 1999.888670656717
0.200   -> 4.979976308456711 0.0005513225186080817 1999.8841213760945
0.205   -> 5.103916025757824 0.0005759161090231609 1999.8795541304205
0.210   -> 5.2278223451299395 0.000600608981010562 1999.8749734325042
0.215   -> 5.351694467924077 0.0006253542301125624 1999.8703837327164
0.220   -> 5.4755315631929244 0.0006501034856052308 1999.8657894157227
0.225   -> 5.599332768548373 0.0006748069395708551 1999.86119479726
0.230   -> 5.723097191115645 0.0006994133792811398 1999.8566041209663
0.235   -> 5.846823908581921 0.0007238702228566103 1999.8520215552767
0.240   -> 5.9705119703367755 0.0007481235581558246 1999.8474511903948
0.245   -> 6.094160398701169 0.0007721181848360779 1999.8428970353543
0.250   -> 6.217768190241131 0.0007957976595154174 1999.838363015176
0.255   -> 6.341334317161703 0.0008191043439540904 1999.8338529681362
0.260   -> 6.464857728776209 0.0008419794561621661 1999.8293706431525
0.265   -> 6.588337353045353 0.0008643631243291354 1999.8249196972977
0.270   -> 6.711772098180236 0.0008861944434609348 1999.8205036934492
0.275   -> 6.835160854302931 0.0009074115346001963 1999.8161260980842
0.280   -> 6.958502495157918 0.0009279516064967168 1999.8117902792226
0.285   -> 7.081795879867389 0.0009477510195872924 1999.8074995045288
0.290   -> 7.205039854723185 0.0009667453521372602 1999.8032569395716
0.295   -> 7.3282332550080325 0.0009848694683904492 1999.79906564625
0.300   -> 7.4513749068386375 0.0010020575885698129 1999.7949285813836
0.305   -> 7.57446362902324 0.0010182433605678601 1999.7908485954704
0.310   -> 7.6974982349263446 0.0010333599331641505 1999.7868284316105
0.315   -> 7.820477534333518 0.0010473400306065743 1999.7828707245953
0.320   -> 7.943400335309458 0.0010601160283938876 1999.7789780001565
0.325   -> 8.066265446042863 0.0010716200300989655 1999.7751526743734
0.330   -> 8.189071676672109 0.0010817839450754023 1999.7713970532309
0.335   -> 8.31181784108623 0.0010905395668943446 1999.767713332322
0.340   -> 8.434502758696283 0.0010978186523636542 1999.764103596689
0.345   -> 8.557125256172812 0.0011035530009875308 1999.7605698207894
0.350   -> 8.679684169145784 0.0011076745347314235 1999.7571138685842
0.355   -> 8.802178394306397 0.001110098857156053 1999.7537373610637
0.360   -> 8.924606848983698 0.001110739345776266 1999.7504417889816
0.365   -> 9.046968463833602 0.0011095102089787407 1999.7472285367098
0.370   -> 9.169262184730563 0.0011063264940162632 1999.7440988816982
0.375   -> 9.291486974260538 0.0011011042101166314 1999.7410539949271
0.380   -> 9.413641813183148 0.0010937604454774122 1999.73809494138
0.385   -> 9.535725701849527 0.0010842134827784124 1999.7352226805567
0.390   -> 9.657737661577416 0.0010723829130517973 1999.732438067021
0.395   -> 9.779676735984866 0.0010581897479396368 1999.7297418509731
0.400   -> 9.901541992284356 0.0010415565303660177 1999.7271346788398
0.405   -> 10.023332522539256 0.0010224074436524274 1999.7246170938738
0.410   -> 10.145047444884801 0.001000668419103141 1999.7221895367586
0.415   -> 10.266685904715708 0.0009762672420821957 1999.7198523462123
0.420   -> 10.388247075842536 0.0009491336565951065 1999.7176057595882
0.425   -> 10.509730161618716 0.0009191994683768613 1999.7154499134672
0.430   -> 10.631134396039934 0.0008863986464729603 1999.713384844243
0.435   -> 10.752459044817178 0.0008506674232825997 1999.711410488698
0.440   -> 10.873703406424372 0.0008119443930125984 1999.7095266845715
